"National
Dex","Pokemon
Name",HP,Attack,Defense,"Special
Attack","Special
Defense",Speed,Total,Ability I,Ability II,Hidden Ability,Weight (kg),Height (m),Pokedex Color,Egg Group I,Egg Group II,Type I,Type II,Pokedex Desc
15.1,Beedrill (Mega),65,150,40,15,80,145,495,Adaptability,,,40.5,1.4,Yellow,Bug,,Bug,Poison,
16,Pidgey,40,45,40,35,35,56,251,Keen Eye,Tangled Feet,Big Pecks,1.8,0.3,Brown,Flying,,Normal,Flying,
17,Pidgeotto,63,60,55,50,50,71,349,Keen Eye,Tangled Feet,Big Pecks,30,1.1,Brown,Flying,,Normal,Flying,
18,Pidgeot,83,80,75,70,70,91,469,Keen Eye,Tangled Feet,Big Pecks,39.5,1.5,Brown,Flying,,Normal,Flying,
18.1,Pidgeot (Mega),83,80,80,135,80,121,579,No Guard,,,50.5,2.2,Brown,Flying,,Normal,Flying,
19,Rattata,30,56,35,25,35,72,253,Run Away,Guts,Hustle,3.5,0.3,Purple,Field,,Normal,,
19.1,Rattata (Alolan),30,56,35,25,35,72,253,Gluttony,Hustle,Thick Fat,3.8,0.3,Black,Field,,Dark,Normal,
20,Raticate,55,81,60,50,70,97,413,Run Away,Guts,Hustle,18.5,0.7,Brown,Field,,Normal,,
20.1,Raticate (Alolan),75,71,70,40,80,77,413,Gluttony,Hustle,Thick Fat,25.5,0.7,Black,Field,,Dark,Normal,
21,Spearow,40,60,30,31,31,70,262,Keen Eye,,Sniper,2,0.3,Brown,Flying,,Normal,Flying,
22,Fearow,65,90,65,61,61,100,442,Keen Eye,,Sniper,38,1.2,Brown,Flying,,Normal,Flying,
23,Ekans,30,60,44,40,54,55,283,Intimidate,Shed Skin,Unnerve,6.9,2,Purple,Field,Dragon,Poison,,
24,Arbok,60,95,69,65,79,80,448,Intimidate,Shed Skin,Unnerve,65,3.5,Purple,Field,Dragon,Poison,,
25,Pikachu,35,55,40,50,50,90,320,Static,,Lightningrod,6,0.4,Yellow,Field,Fairy,Electric,,
26,Raichu,60,90,55,90,80,110,485,Static,,Lightningrod,30,0.8,Yellow,Field,Fairy,Electric,,
26.1,Raichu (Alolan),60,85,50,95,85,110,485,Surge Surfer,,,21,0.7,Brown,Field,Fairy,Electric,Psychic,
27,Sandshrew,50,75,85,20,30,40,300,Sand Veil,,Sand Rush,12,0.6,Yellow,Field,,Ground,,
27.1,Sandshrew (Alolan),50,75,90,10,35,40,300,Snow Cloak,,Slush Rush,40,0.7,White,Field,,Ice,Steel,
28,Sandslash,75,100,110,45,55,65,450,Sand Veil,,Sand Rush,29.5,1,Yellow,Field,,Ground,,
28.1,Sandslash (Alolan),75,100,120,25,65,65,450,Snow Cloak,,Slush Rush,55,1.2,Blue,Field,,Ice,Steel,
29,Nidoran (Female),55,47,52,40,40,41,275,Poison Point,Rivalry,Hustle,7,0.4,Blue,Monster,Field,Poison,,
30,Nidorina,70,62,67,55,55,56,365,Poison Point,Rivalry,Hustle,20,0.8,Blue,Undiscovered,,Poison,,
31,Nidoqueen,90,92,87,75,85,76,505,Poison Point,Rivalry,Sheer Force,60,1.3,Blue,Undiscovered,,Poison,Ground,
32,Nidoran (Male),46,57,40,40,40,50,273,Poison Point,Rivalry,Hustle,9,0.5,Purple,Monster,Field,Poison,,
33,Nidorino,61,72,57,55,55,65,365,Poison Point,Rivalry,Hustle,19.5,0.9,Purple,Monster,Field,Poison,,
34,Nidoking,81,102,77,85,75,85,505,Poison Point,Rivalry,Sheer Force,62,1.4,Purple,Monster,Field,Poison,Ground,
35,Clefairy,70,45,48,60,65,35,323,Cute Charm,Magic Guard,Friend Guard,7.5,0.6,Pink,Fairy,,Fairy,,
36,Clefable,95,70,73,95,90,60,483,Cute Charm,Magic Guard,Unaware,40,1.3,Pink,Fairy,,Fairy,,
37,Vulpix,38,41,40,50,65,65,299,Flash Fire,,Drought,9.9,0.6,Brown,Field,,Fire,,
37.1,Vulpix (Alolan),38,41,40,50,65,65,299,Snow Cloak,,Snow Warning,9.9,0.6,White,Field,,Ice,,
38,Ninetales,73,76,75,81,100,100,505,Flash Fire,,Drought,19.9,1.1,Yellow,Field,,Fire,,
38.1,Ninetales (Alolan),73,67,75,81,100,109,505,Snow Cloak,,Snow Warning,19.9,1.1,Blue,Field,,Ice,Fairy,
39,Jigglypuff,115,45,20,45,25,20,270,Cute Charm,Competitive,Friend Guard,5.5,0.5,Pink,Fairy,,Normal,Fairy,
40,Wigglytuff,140,70,45,85,50,45,435,Cute Charm,Competitive,Frisk,12,1,Pink,Fairy,,Normal,Fairy,
41,Zubat,40,45,35,30,40,55,245,Inner Focus,,Infiltrator,7.5,0.8,Purple,Flying,,Poison,Flying,
42,Golbat,75,80,70,65,75,90,455,Inner Focus,,Infiltrator,55,1.6,Purple,Flying,,Poison,Flying,
43,Oddish,45,50,55,75,65,30,320,Chlorophyll,,Run Away,5.4,0.5,Blue,Grass,,Grass,Poison,
44,Gloom,60,65,70,85,75,40,395,Chlorophyll,,Stench,8.6,0.8,Blue,Grass,,Grass,Poison,
45,Vileplume,75,80,85,110,90,50,490,Chlorophyll,,Effect Spore,18.6,1.2,Red,Grass,,Grass,Poison,
46,Paras,35,70,55,45,55,25,285,Effect Spore,Dry Skin,Damp,5.4,0.3,Red,Bug,Grass,Bug,Grass,
47,Parasect,60,95,80,60,80,30,405,Effect Spore,Dry Skin,Damp,29.5,1,Red,Bug,Grass,Bug,Grass,
48,Venonat,60,55,50,40,55,45,305,Compoundeyes,Tinted Lens,Run Away,30,1,Purple,Bug,,Bug,Poison,
49,Venomoth,70,65,60,90,75,90,450,Shield Dust,Tinted Lens,Wonder Skin,12.5,1.5,Purple,Bug,,Bug,Poison,
50,Diglett,10,55,25,35,45,95,265,Sand Veil,Arena Trap,Sand Force,0.8,0.2,Brown,Field,,Ground,,
50.1,Diglett (Alolan),10,55,30,35,45,90,265,Sand Veil,Tangling Hair,Sand Force,1,0.2,Brown,Field,,Ground,Steel,
51,Dugtrio,35,100,50,50,70,120,425,Sand Veil,Arena Trap,Sand Force,33.3,0.7,Brown,Field,,Ground,,
51.1,Dugtrio (Alolan),35,100,60,50,70,110,425,Sand Veil,Tangling Hair,Sand Force,66.6,0.7,Brown,Field,,Ground,Steel,
52,Meowth,40,45,35,40,40,90,290,Pickup,Technician,Unnerve,4.2,0.4,Yellow,Field,,Normal,,
52.1,Meowth (Alolan),40,35,35,50,40,90,290,Pickup,Technician,Rattled,4.2,0.4,Blue,Field,,Dark,,
52.2,Meowth (Galarian),50,65,55,40,40,40,290,Pickup,Tough Claws,Unnerve,7.5,0.4,Brown,Field,,Steel,,
53,Persian,65,70,60,65,65,115,440,Limber,Technician,Unnerve,32,1,Yellow,Field,,Normal,,
53.1,Persian (Alolan),65,60,60,75,65,115,440,Fur Coat,Technician,Rattled,33,1.1,Blue,Field,,Dark,,
54,Psyduck,50,52,48,65,50,55,320,Damp,Cloud Nine,Swift Swim,19.6,0.8,Yellow,Water 1,Field,Water,,
55,Golduck,80,82,78,95,80,85,500,Damp,Cloud Nine,Swift Swim,76.6,1.7,Blue,Water 1,Field,Water,,
56,Mankey,40,80,35,35,45,70,305,Vital Spirit,Anger Point,Defiant,28,0.5,Brown,Field,,Fighting,,
57,Primeape,65,105,60,60,70,95,455,Vital Spirit,Anger Point,Defiant,32,1,Brown,Field,,Fighting,,
58,Growlithe,55,70,45,70,50,60,350,Intimidate,Flash Fire,Justified,19,0.7,Brown,Field,,Fire,,
58.1,Growlithe (Hisuian),60,75,45,65,50,55,350,Intimidate,Flash Fire,Rock Head,22.7,0.8,Brown,Field,,Fire,Rock,
59,Arcanine,90,110,80,100,80,95,555,Intimidate,Flash Fire,Justified,155,1.9,Brown,Field,,Fire,,
59.1,Arcanine (Hisuian),95,115,80,95,80,90,555,Intimidate,Flash Fire,Rock Head,168,2,Brown,Field,,Fire,Rock,
60,Poliwag,40,50,40,40,40,90,300,Water Absorb,Damp,Swift Swim,12.4,0.6,Blue,Water 1,,Water,,
61,Poliwhirl,65,65,65,50,50,90,385,Water Absorb,Damp,Swift Swim,20,1,Blue,Water 1,,Water,,
62,Poliwrath,90,95,95,70,90,70,510,Water Absorb,Damp,Swift Swim,54,1.3,Blue,Water 1,,Water,Fighting,
63,Abra,25,20,15,105,55,90,310,Synchronize,Inner Focus,Magic Guard,19.5,0.9,Brown,Human-Like,,Psychic,,
64,Kadabra,40,35,30,120,70,105,400,Synchronize,Inner Focus,Magic Guard,56.5,1.3,Brown,Human-Like,,Psychic,,
65,Alakazam,55,50,45,135,95,120,500,Synchronize,Inner Focus,Magic Guard,48,1.5,Brown,Human-Like,,Psychic,,
65.1,Alakazam (Mega),55,50,65,175,95,150,590,Trace,,,48,1.2,Brown,Human-Like,,Psychic,,
66,Machop,70,80,50,35,35,35,305,Guts,No Guard,Steadfast,19.5,0.8,Gray,Human-Like,,Fighting,,
67,Machoke,80,100,70,50,60,45,405,Guts,No Guard,Steadfast,70.5,1.5,Gray,Human-Like,,Fighting,,
68,Machamp,90,130,80,65,85,55,505,Guts,No Guard,Steadfast,130,1.6,Gray,Human-Like,,Fighting,,
69,Bellsprout,50,75,35,70,30,40,300,Chlorophyll,,Gluttony,4,0.7,Green,Grass,,Grass,Poison,
70,Weepinbell,65,90,50,85,45,55,390,Chlorophyll,,Gluttony,6.4,1,Green,Grass,,Grass,Poison,
71,Victreebel,80,105,65,100,70,70,490,Chlorophyll,,Gluttony,15.5,1.7,Green,Grass,,Grass,Poison,
72,Tentacool,40,40,35,50,100,70,335,Clear Body,Liquid Ooze,Rain Dish,45.5,0.9,Blue,Water 3,,Water,Poison,
73,Tentacruel,80,70,65,80,120,100,515,Clear Body,Liquid Ooze,Rain Dish,55,1.6,Blue,Water 3,,Water,Poison,
74,Geodude,40,80,100,30,30,20,300,Rock Head,Sturdy,Sand Veil,20,0.4,Brown,Mineral,,Rock,Ground,
74.1,Geodude (Alolan),40,80,100,30,30,20,300,Magnet Pull,Sturdy,Galvanize,20.3,0.4,Gray,Mineral,,Rock,Electric,
75,Graveler,55,95,115,45,45,35,390,Rock Head,Sturdy,Sand Veil,105,1,Brown,Mineral,,Rock,Ground,
75.1,Graveler (Alolan),55,95,115,45,45,35,390,Magnet Pull,Sturdy,Galvanize,110,1,Gray,Mineral,,Rock,Electric,
76,Golem,80,120,130,55,65,45,495,Rock Head,Sturdy,Sand Veil,300,1.4,Brown,Mineral,,Rock,Ground,
76.1,Golem (Alolan),80,120,130,55,65,45,495,Magnet Pull,Sturdy,Galvanize,316,1.7,Gray,Mineral,,Rock,Electric,
77,Ponyta,50,85,55,65,65,90,410,Run Away,Flash Fire,Flame Body,30,1,Yellow,Field,,Fire,,
77.1,Ponyta (Galarian),50,85,55,65,65,90,410,Run Away,Pastel Veil,Anticipation,24,0.8,White,Field,,Psychic,,
78,Rapidash,65,100,70,80,80,105,500,Run Away,Flash Fire,Flame Body,95,1.7,Yellow,Field,,Fire,,
78.1,Rapidash (Galarian),65,100,70,80,80,105,500,Run Away,Pastel Veil,Anticipation,80,1.7,White,Field,,Psychic,Fairy,
79,Slowpoke,90,65,65,40,40,15,315,Oblivious,Own Tempo,Regenerator,36,1.2,Pink,Monster,Water 1,Water,Psychic,
79.1,Slowpoke (Galarian),90,65,65,40,40,15,315,Gluttony,Own Tempo,Regenerator,36,1.2,Pink,Monster,Water 1,Psychic,,
80,Slowbro,95,75,110,100,80,30,490,Oblivious,Own Tempo,Regenerator,78.5,1.6,Pink,Monster,Water 1,Water,Psychic,
80.1,Slowbro (Mega),95,75,180,130,80,30,590,Shell Armor,,,120,2,Pink,Monster,Water 1,Water,Psychic,
80.2,Slowbro (Galarian),95,100,85,100,70,30,480,Quick Draw,Own Tempo,Regenerator,70.5,1.6,Pink,Monster,Water 1,Poison,Psychic,
81,Magnemite,25,35,70,95,55,45,325,Magnet Pull,Sturdy,Analytic,6,0.3,Gray,Mineral,,Electric,Steel,
82,Magneton,50,60,95,120,70,70,465,Magnet Pull,Sturdy,Analytic,60,1,Gray,Mineral,,Electric,Steel,
83,Farfetch'd,52,90,55,58,62,60,377,Keen Eye,Inner Focus,Defiant,15,0.8,Brown,Flying,Field,Normal,Flying,
83.1,Farfetch'd (Galarian),52,95,55,58,62,55,377,Steadfast,Steadfast,Scrappy,42,0.8,Brown,Flying,Field,Fighting,,
84,Doduo,35,85,45,35,35,75,310,Run Away,Early Bird,Tangled Feet,39.2,1.4,Brown,Flying,,Normal,Flying,
85,Dodrio,60,110,70,60,60,110,470,Run Away,Early Bird,Tangled Feet,85.2,1.8,Brown,Flying,,Normal,Flying,
86,Seel,65,45,55,45,70,45,325,Thick Fat,Hydration,Ice Body,90,1.1,White,Water 1,Field,Water,,
87,Dewgong,90,70,80,70,95,70,475,Thick Fat,Hydration,Ice Body,120,1.7,White,Water 1,Field,Water,Ice,
88,Grimer,80,80,50,40,50,25,325,Stench,Sticky Hold,Poison Touch,30,0.9,Purple,Amorphous,,Poison,,
88.1,Grimer (Alolan),80,80,50,40,50,25,325,Poison Touch,Gluttony,Power of Alchemy,42,0.7,Green,Amorphous,,Poison,Dark,
89,Muk,105,105,75,65,100,50,500,Stench,Sticky Hold,Poison Touch,30,1.2,Purple,Amorphous,,Poison,,
89.1,Muk (Alolan),105,105,75,65,100,50,500,Poison Touch,Gluttony,Power of Alchemy,52,1,Green,Amorphous,,Poison,Dark,
90,Shellder,30,65,100,45,25,40,305,Shell Armor,Skill Link,Overcoat,4,0.3,Purple,Water 3,,Water,,
91,Cloyster,50,95,180,85,45,70,525,Shell Armor,Skill Link,Overcoat,132.5,1.5,Purple,Water 3,,Water,Ice,
92,Gastly,30,35,30,100,35,80,310,Levitate,,,0.1,1.3,Purple,Amorphous,,Ghost,Poison,
93,Haunter,45,50,45,115,55,95,405,Levitate,,,0.1,1.6,Purple,Amorphous,,Ghost,Poison,
94,Gengar,60,65,60,130,75,110,500,Cursed Body,,,40.5,1.5,Purple,Amorphous,,Ghost,Poison,
94.1,Gengar (Mega),60,65,80,170,95,130,600,Shadow Tag,,,40.5,1.4,Purple,Amorphous,,Ghost,Poison,
95,Onix,35,45,160,30,45,70,385,Rock Head,Sturdy,Weak Armor,210,8.8,Gray,Mineral,,Rock,Ground,
96,Drowzee,60,48,45,43,90,42,328,Insomnia,Forewarn,Inner Focus,32.4,1,Yellow,Human-Like,,Psychic,,
97,Hypno,85,73,70,73,115,67,483,Insomnia,Forewarn,Inner Focus,75.6,1.6,Yellow,Human-Like,,Psychic,,
98,Krabby,30,105,90,25,25,50,325,Hyper Cutter,Shell Armor,Sheer Force,6.5,0.4,Red,Water 3,,Water,,
99,Kingler,55,130,115,50,50,75,475,Hyper Cutter,Shell Armor,Sheer Force,60,1.3,Red,Water 3,,Water,,
100,Voltorb,40,30,50,55,55,100,330,Soundproof,Static,Aftermath,10.4,0.5,Red,Mineral,,Electric,,
100.1,Voltorb (Hisuian),40,30,50,55,55,100,330,Soundproof,Static,Aftermath,13,0.5,Red,Mineral,,Electric,Grass,
101,Electrode,60,50,70,80,80,150,490,Soundproof,Static,Aftermath,66.6,1.2,Red,Mineral,,Electric,,
101.1,Electrode (Hisuian),60,50,70,80,80,150,490,Soundproof,Static,Aftermath,71,1.2,Red,Mineral,,Electric,Grass,
102,Exeggcute,60,40,80,60,45,40,325,Chlorophyll,,Harvest,2.5,0.4,Pink,Grass,,Grass,Psychic,
103,Exeggutor,95,95,85,125,75,55,530,Chlorophyll,,Harvest,120,2,Yellow,Grass,,Grass,Psychic,
103.1,Exeggutor (Alolan),95,105,85,125,75,45,530,Frisk,,Harvest,415.6,10.9,Yellow,Grass,,Grass,Dragon,
104,Cubone,50,50,95,40,50,35,320,Rock Head,Lightningrod,Battle Armor,6.5,0.4,Brown,Monster,,Ground,,
105,Marowak,60,80,110,50,80,45,425,Rock Head,Lightningrod,Battle Armor,45,1,Brown,Monster,,Ground,,
105.1,Marowak (Alolan),60,80,110,50,80,45,425,Cursed Body,Lightningrod,Rock Head,34,1,Purple,Monster,,Fire,Ghost,
106,Hitmonlee,50,120,53,35,110,87,455,Limber,Reckless,Unburden,49.8,1.5,Brown,Human-Like,,Fighting,,
107,Hitmonchan,50,105,79,35,110,76,455,Keen Eye,Iron Fist,Inner Focus,50.2,1.4,Brown,Human-Like,,Fighting,,
108,Lickitung,90,55,75,60,75,30,385,Own Tempo,Oblivious,Cloud Nine,65.5,1.2,Pink,Monster,,Normal,,
109,Koffing,40,65,95,60,45,35,340,Levitate,Neutralizing Gas,Stench,1,0.6,Purple,Amorphous,,Poison,,
110,Weezing,65,90,120,85,70,60,490,Levitate,Neutralizing Gas,Stench,9.5,1.2,Purple,Amorphous,,Poison,,
110.1,Weezing (Galarian),65,90,120,85,70,60,490,Levitate,Neutralizing Gas,Misty Surge,16,3,Gray,Amorphous,,Poison,Fairy,
111,Rhyhorn,80,85,95,30,30,25,345,Lightningrod,Rock Head,Reckless,115,1,Gray,Monster,Field,Ground,Rock,
112,Rhydon,105,130,120,45,45,40,485,Lightningrod,Rock Head,Reckless,120,1.9,Gray,Monster,Field,Ground,Rock,
113,Chansey,250,5,5,35,105,50,450,Natural Cure,Serene Grace,Healer,34.6,1.1,Pink,Fairy,,Normal,,
114,Tangela,65,55,115,100,40,60,435,Chlorophyll,Leaf Guard,Regenerator,35,1,Blue,Grass,,Grass,,
115,Kangaskhan,105,95,80,40,80,90,490,Early Bird,Scrappy,Inner Focus,80,2.2,Brown,Monster,,Normal,,
115.1,Kangaskhan (Mega),105,125,100,60,100,100,590,Parental Bond,,,100,2.2,Brown,Monster,,Normal,,
116,Horsea,30,40,70,70,25,60,295,Swift Swim,Sniper,Damp,8,0.4,Blue,Water 1,Dragon,Water,,
117,Seadra,55,65,95,95,45,85,440,Poison Point,Sniper,Damp,25,1.2,Blue,Water 1,Dragon,Water,,
118,Goldeen,45,67,60,35,50,63,320,Swift Swim,Water Veil,Lightningrod,15,0.6,Red,Water 2,,Water,,
119,Seaking,80,92,65,65,80,68,450,Swift Swim,Water Veil,Lightningrod,39,1.3,Red,Water 2,,Water,,
120,Staryu,30,45,55,70,55,85,340,Illuminate,Natural Cure,Analytic,34.5,0.8,Brown,Water 3,,Water,,
121,Starmie,60,75,85,100,85,115,520,Illuminate,Natural Cure,Analytic,80,1.1,Purple,Water 3,,Water,Psychic,
122,Mr. Mime,40,45,65,100,120,90,460,Soundproof,Filter,Technician,54.5,1.3,Pink,Human-Like,,Psychic,Fairy,
122.1,Mr. Mime (Galarian),50,65,65,90,90,100,460,Vital Spirit,Screen Cleaner,Ice Body,56.8,1.4,White,Human-Like,,Ice,Psychic,
123,Scyther,70,110,80,55,80,105,500,Swarm,Technician,Steadfast,56,1.5,Green,Bug,,Bug,Flying,
124,Jynx,65,50,35,115,95,95,455,Oblivious,Forewarn,Dry Skin,40.6,1.4,Red,Human-Like,,Ice,Psychic,
125,Electabuzz,65,83,57,95,85,105,490,Static,,Vital Spirit,30,1.1,Yellow,Human-Like,,Electric,,
126,Magmar,65,95,57,100,85,93,495,Flame Body,,Vital Spirit,44.5,1.3,Red,Human-Like,,Fire,,
127,Pinsir,65,125,100,55,70,85,500,Hyper Cutter,Mold Breaker,Moxie,55,1.5,Brown,Bug,,Bug,,
127.1,Pinsir (Mega),65,155,120,65,90,105,600,Aerilate,,,59,1.7,Brown,Bug,,Bug,Flying,
128,Tauros,75,100,95,40,70,110,490,Intimidate,Anger Point,Sheer Force,88.4,1.4,Brown,Field,,Normal,,
128.1,"Tauros (Paldean, Combat)",75,110,105,30,70,100,490,Intimidate,Anger Point,Cud Chew,115,1.4,Brown,Field,,Fighting,,
128.2,"Tauros (Paldean, Blaze)",75,110,105,30,70,100,490,Intimidate,Anger Point,Cud Chew,85,1.4,Brown,Field,,Fighting,Fire,
128.3,"Tauros (Paldean, Aqua)",75,110,105,30,70,100,490,Intimidate,Anger Point,Cud Chew,110,1.4,Brown,Field,,Fighting,Water,
129,Magikarp,20,10,55,15,20,80,200,Swift Swim,,Rattled,10,0.9,Red,Water 2,Dragon,Water,,
130,Gyarados,95,125,79,60,100,81,540,Intimidate,,Moxie,235,6.5,Blue,Water 2,Dragon,Water,Flying,
130.1,Gyarados (Mega),95,155,109,70,130,81,640,Mold Breaker,,,305,6.5,Blue,Water 2,Dragon,Water,Dark,
131,Lapras,130,85,80,85,95,60,535,Water Absorb,Shell Armor,Hydration,220,2.5,Blue,Monster,Water 1,Water,Ice,
132,Ditto,48,48,48,48,48,48,288,Limber,,Imposter,4,0.3,Purple,Ditto,,Normal,,
133,Eevee,55,55,50,45,65,55,325,Run Away,Adaptability,Anticipation,6.5,0.3,Brown,Field,,Normal,,
134,Vaporeon,130,65,60,110,95,65,525,Water Absorb,,Hydration,29,1,Blue,Field,,Water,,
135,Jolteon,65,65,60,110,95,130,525,Volt Absorb,,Quick Feet,24.5,0.8,Yellow,Field,,Electric,,
136,Flareon,65,130,60,95,110,65,525,Flash Fire,,Guts,25,0.9,Red,Field,,Fire,,
137,Porygon,65,60,70,85,75,40,395,Trace,Download,Analytic,36.5,0.8,Pink,Mineral,,Normal,,
138,Omanyte,35,40,100,90,55,35,355,Swift Swim,Shell Armor,Weak Armor,7.5,0.4,Blue,Water 1,Water 3,Rock,Water,
139,Omastar,70,60,125,115,70,55,495,Swift Swim,Shell Armor,Weak Armor,35,1,Blue,Water 1,Water 3,Rock,Water,
140,Kabuto,30,80,90,55,45,55,355,Swift Swim,Battle Armor,Weak Armor,11.5,0.5,Brown,Water 1,Water 3,Rock,Water,
141,Kabutops,60,115,105,65,70,80,495,Swift Swim,Battle Armor,Weak Armor,40.5,1.3,Brown,Water 1,Water 3,Rock,Water,
142,Aerodactyl,80,105,65,60,75,130,515,Rock Head,Pressure,Unnerve,59,1.8,Purple,Flying,,Rock,Flying,
142.1,Aerodactyl (Mega),80,135,85,70,95,150,615,Tough Claws,,,79,2.1,Purple,Flying,,Rock,Flying,
143,Snorlax,160,110,65,65,110,30,540,Immunity,Thick Fat,Gluttony,460,2.1,Black,Monster,,Normal,,
144,Articuno,90,85,100,95,125,85,580,Pressure,,Snow Cloak,55.4,1.7,Blue,Undiscovered,,Ice,Flying,
144.1,Articuno (Galarian),90,85,85,125,100,95,580,Competitive,,,50.9,1.7,Purple,Undiscovered,,Psychic,Flying,
145,Zapdos,90,90,85,125,90,100,580,Pressure,,Static,52.6,1.6,Yellow,Undiscovered,,Electric,Flying,
145.1,Zapdos (Galarian),90,125,90,85,90,100,580,Defiant,,,58.2,1.6,Yellow,Undiscovered,,Fighting,Flying,
146,Moltres,90,100,90,125,85,90,580,Pressure,,Flame Body,60,2,Yellow,Undiscovered,,Fire,Flying,
146.1,Moltres (Galarian),90,85,90,100,125,90,580,Berserk,,,66,2,Red,Undiscovered,,Dark,Flying,
147,Dratini,41,64,45,50,50,50,300,Shed Skin,,Marvel Scale,3.3,1.8,Blue,Water 1,Dragon,Dragon,,
148,Dragonair,61,84,65,70,70,70,420,Shed Skin,,Marvel Scale,16.5,4,Blue,Water 1,Dragon,Dragon,,
149,Dragonite,91,134,95,100,100,80,600,Inner Focus,,Multiscale,210,2.2,Brown,Water 1,Dragon,Dragon,Flying,
150,Mewtwo,106,110,90,154,90,130,680,Pressure,,Unnerve,122,2,Purple,Undiscovered,,Psychic,,
150.1,Mewtwo (Mega X),106,190,100,154,100,130,780,Steadfast,,,127,2.3,Purple,Undiscovered,,Psychic,Fighting,
150.2,Mewtwo (Mega Y),106,150,70,194,120,140,780,Insomnia,,,33,1.5,Purple,Undiscovered,,Psychic,,
151,Mew,100,100,100,100,100,100,600,Synchronize,,,4,0.4,Pink,Undiscovered,,Psychic,,
152,Chikorita,45,49,65,49,65,45,318,Overgrow,,Leaf Guard,6.4,0.9,Green,Monster,Grass,Grass,,
153,Bayleef,60,62,80,63,80,69,414,Overgrow,,Leaf Guard,15.8,1.2,Green,Monster,Grass,Grass,,
154,Meganium,80,82,100,83,100,80,525,Overgrow,,Leaf Guard,100.5,1.8,Green,Monster,Grass,Grass,,
155,Cyndaquil,39,52,43,60,50,65,309,Blaze,,Flash Fire,7.9,0.5,Yellow,Field,,Fire,,
156,Quilava,58,64,58,80,65,80,405,Blaze,,Flash Fire,19,0.9,Yellow,Field,,Fire,,
